rank,代號,名稱,比重%
635,2029,盛餘,0.0045
636,1321,大洋,0.0045
637,1583,程泰,0.0045
638,2505,國揚,0.0045
639,2536,宏普,0.0045
640,2413,環科,0.0045
641,6416,瑞祺電通,0.0045
642,6205,詮欣,0.0044
643,4949,有成精密,0.0044
644,3338,泰碩,0.0044
645,9924,福興,0.0044
646,9905,大華,0.0044
647,3056,富華新,0.0044
648,2433,互盛電,0.0043
649,1444,力麗,0.0043
650,1309,台達化,0.0043
651,2302,麗正,0.0043
652,1737,臺鹽,0.0043
653,8467,波力-KY,0.0043
654,8045,達運光電,0.0043
655,4746,台耀,0.0043
656,4994,傳奇,0.0042
657,1315,達新,0.0042
658,1201,味全,0.0042
659,1603,華電,0.0042
660,1535,中宇,0.0042
661,2453,凌群,0.0042
662,2442,新美齊,0.0042
663,2405,輔信,0.0042
664,2706,第一店,0.0041
665,2614,東森,0.0041
666,1558,伸興,0.0041
667,1810,和成,0.0041
668,4572,駐龍,0.0041
669,8438,昶昕,0.0041
670,4952,凌通,0.004
671,1734,杏輝,0.004
672,1725,元禎,0.004
673,2020,美亞,0.0039
674,1447,力鵬,0.0039
675,1437,勤益控,0.0039
676,3031,佰鴻,0.0039
677,6168,宏齊,0.0039
678,5225,東科-KY,0.0039
679,7736,虎山,0.0039
680,5258,虹堡,0.0038
681,5608,四維航,0.0038
682,6155,鈞寶,0.0038
683,4569,六方科-KY,0.0038
684,3717,聯嘉投控,0.0038
685,3257,虹冠電,0.0038
686,2460,建通,0.0038
687,1108,幸福,0.0038
688,1524,耿鼎,0.0038
689,2028,威致,0.0038
690,2008,高興昌,0.0038
691,3054,立萬利,0.0037
692,4164,承業醫,0.0037
693,4942,嘉彰,0.0037
694,7791,皇家可口,0.0037
695,6776,展碁國際,0.0037
696,9946,三發地產,0.0037
697,8482,商億-KY,0.0036
698,4935,茂林-KY,0.0036
699,3530,晶相光,0.0036
700,6141,柏承,0.0036
701,6112,邁達特,0.0036
702,6405,悅城,0.0036
703,1760,寶齡富錦,0.0036
704,1721,三晃,0.0036
705,2030,彰源,0.0035
706,1525,江申,0.0035
707,2514,龍邦,0.0035
708,6281,全國電,0.0035
709,5521,工信,0.0035
710,5203,訊連,0.0035
711,3716,中化控股,0.0035
712,6695,芯鼎,0.0035
713,6902,GOGOLOOK,0.0035
714,8162,微矽電子-創,0.0035
715,3356,奇偶,0.0034
716,4119,旭富,0.0034
717,1109,信大,0.0034
718,2305,全友,0.0034
719,1217,愛之味,0.0033
720,1528,恩德,0.0033
721,1460,宏遠,0.0033
722,3501,維熹,0.0033
723,6994,富威電力,0.0033
724,6799,來頡,0.0033
725,1472,三洋實業,0.0032
726,1568,倉佑,0.0032
727,3051,力特,0.0032
728,2701,萬企,0.0032
