代號,分類,最新月份,最新月年增%,近36月可比基數,近36月成長月數,近36月成長比率%,近12月成長,近12月樣態,連續成長月數,近36月平均年增%
3189,🔵 多數成長,2026/05,33.0,36,27,75.0,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,18,11.8
3045,🔵 多數成長,2026/05,3.9,36,28,77.8,6/12,✗✗✗✗✗✔✔✔✗✔✔✔,3,4.5
3661,🟡 中性,2026/05,-33.5,36,20,55.6,0/12,✗✗✗✗✗✗✗✗✗✗✗✗,0,28.0
2449,🟡 中性,2026/05,36.6,36,17,47.2,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,14,7.5
6515,🔵 多數成長,2026/05,119.8,36,22,61.1,8/12,✗✔✗✗✔✔✔✔✗✔✔✔,3,36.6
2337,🟡 中性,2026/05,175.8,36,21,58.3,11/12,✔✔✗✔✔✔✔✔✔✔✔✔,9,10.1
2313,🟡 中性,2026/05,13.0,36,21,58.3,8/12,✔✗✗✔✔✗✔✔✔✔✗✔,1,5.1
1326,🟡 中性,2026/05,15.5,36,15,41.7,4/12,✗✗✗✗✗✗✗✔✗✔✔✔,3,-3.4
3034,🔴 轉弱/衰退,2026/05,9.4,36,14,38.9,2/12,✗✗✗✗✗✗✗✗✗✗✔✔,2,3.0
5347,🔵 多數成長,2026/05,19.5,36,24,66.7,10/12,✔✔✗✔✔✔✔✔✗✔✔✔,3,7.5
1301,🔴 轉弱/衰退,2026/05,0.7,36,13,36.1,3/12,✗✗✗✗✗✗✗✗✗✔✔✔,3,-6.1
3044,🟢 全期強勢,2026/05,46.6,36,29,80.6,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,16,11.1
6770,🔵 多數成長,2026/05,58.9,36,23,63.9,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,12,-0.4
2002,🔴 轉弱/衰退,2026/05,2.2,36,7,19.4,3/12,✗✗✗✗✗✗✗✔✗✗✔✔,2,-7.2
3036,🟢 全期強勢,2026/05,152.7,36,31,86.1,10/12,✗✗✔✔✔✔✔✔✔✔✔✔,10,47.5
2801,🔵 多數成長,2026/05,24.6,36,26,72.2,11/12,✔✔✗✔✔✔✔✔✔✔✔✔,9,9.7
1590,🔵 多數成長,2026/05,40.4,36,27,75.0,11/12,✔✔✔✔✔✔✔✔✗✔✔✔,3,14.5
2492,🟢 全期強勢,2026/05,16.5,36,31,86.1,10/12,✔✔✔✗✔✔✔✔✗✔✔✔,3,6.3
3533,🔵 多數成長,2026/05,9.0,36,27,75.0,11/12,✔✔✗✔✔✔✔✔✔✔✔✔,9,13.1
6239,🟡 中性,2026/05,30.2,36,21,58.3,11/12,✗✔✔✔✔✔✔✔✔✔✔✔,11,5.9
2207,🟡 中性,2026/05,15.7,36,21,58.3,7/12,✗✗✔✔✔✗✗✔✗✔✔✔,3,4.1
1519,🟢 全期強勢,2026/05,-9.3,36,34,94.4,11/12,✔✔✔✔✔✔✔✔✔✔✔✗,0,57.0
2404,🟡 中性,2026/05,85.0,36,19,52.8,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,14,19.5
2356,🔵 多數成長,2026/05,35.3,36,27,75.0,7/12,✔✗✔✔✗✗✗✔✗✔✔✔,3,15.0
2912,🟢 全期強勢,2026/05,5.3,36,35,97.2,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,15,5.8
2376,🟢 全期強勢,2026/05,5.0,36,34,94.4,11/12,✔✔✗✔✔✔✔✔✔✔✔✔,9,63.2
3529,🟢 全期強勢,2026/05,12.0,36,29,80.6,9/12,✗✔✗✔✔✔✗✔✔✔✔✔,5,12.8
2618,🟢 全期強勢,2026/05,22.1,36,31,86.1,7/12,✗✗✗✗✔✔✔✗✔✔✔✔,4,14.7
8069,🟡 中性,2026/05,1.0,36,20,55.6,8/12,✔✔✔✔✗✗✗✔✔✔✗✔,1,9.9
2615,🟡 中性,2026/05,22.9,36,17,47.2,2/12,✗✗✗✗✗✗✗✗✗✗✔✔,2,8.9
